State,Total
Alabama,6037460876
Alaska,163487855
Arizona,2098063005
Arkansas,80566648
California,10252737818
Colorado,2929763671
Connecticut,2411756787
Delaware,102610838
District of Columbia,5546178948
Florida,2756220932
Georgia,846205626
Hawaii,340264086
Idaho,58657778
Illinois,678669784
Indiana,448591850
Iowa,280844652
Kansas,40745343
Kentucky,44674763
Louisiana,57070029
Maine,163353825
Maryland,6205206785
Massachusetts,3640321171
Michigan,853066968
Minnesota,370226399
Mississippi,701274583
Missouri,1255717207
Montana,45820468
Nebraska,74634499
Nevada,242090438
New Hampshire,422049898
New Jersey,2523332219
New Mexico,2108333111
New York,1525861309
North Carolina,323920068
North Dakota,1487225
Ohio,4051291625
Oklahoma,293979664
Oregon,112714693
Pennsylvania,2153625189
Rhode Island,633391882
South Carolina,390764031
South Dakota,24396171
Tennessee,525189127
Texas,3019571996
Utah,1512721142
Vermont,33926529
Virginia,7665095332
Washington,1218821380
West Virginia,7070121
Wisconsin,62413216
Wyoming,5263283
