Country,Total
Kenya,606875
South Africa,179910
Cambodia,21908
Hong Kong S.A.R.,96785
India,1041444
Israel,287836288
Japan,5199232
Jordan,25775
South Korea,4446856
Malaysia,306981
Philippines,1047888
Singapore,2507405
Taiwan,707785
Thailand,2203259
Turkey,473747
United Arab Emirates,395132
Vietnam,1140421
Austria,641156
Belgium,3245348
Bulgaria,27450
Croatia,630717
Czech Republic,322447
Denmark,1116450
Estonia,448358
Finland,113926
France,9574691
Germany,4880909
Greece,357758
Italy,2563595
Latvia,11598
Lithuania,32218
Luxembourg,1138230
Macedonia,92790
Netherlands,3421521
Norway,673246
Poland,1279091
Portugal,404025
Romania,77325
Slovakia,51936
Slovenia,288681
Spain,1865862
Sweden,3178332
Switzerland,4625349
Ukraine,209938
United Kingdom,56359151
The Bahamas,15207462
Canada,36111875
Mexico,2383169
British Virgin Islands,19846
Australia,18069405
Fiji,257235
Marshall Islands,369228
New Zealand,2749820
Argentina,461632
Bolivia,123334
Brazil,1458099
Chile,2728685
Colombia,16238
Peru,13789
Suriname,19331
